MTW06P Method of Travel to Work (6 travel modes),Public Transport,Vehicle,Active Transport,Other Mode,Worked at home or Did not go to work,Not applicable,Mode not stated,Total
2155,4368,20362,284,119,3588,12264,157,41152
2156,542,4666,109,25,1120,4006,54,10519
2157,98,1318,54,4,371,1122,24,3000
2158,444,2933,86,20,710,2787,40,7013
2159,187,1680,73,23,484,1552,30,4034
2160,2951,9005,309,114,1224,14675,203,28474
2161,1997,7265,132,61,940,13441,181,24006
2162,1111,4670,124,48,541,7930,88,14507
2163,462,1840,43,19,223,5074,58,7727
2164,872,5473,130,35,667,8477,104,15765
2165,2315,9392,274,68,1004,20752,197,34008
2166,3370,12810,624,92,1293,24397,310,42908
2167,1421,2472,47,12,401,3164,25,7539
2168,1885,11781,134,65,1285,18282,277,33705
2170,6238,28890,1140,180,3711,41491,508,82160
2171,1782,12820,112,50,1502,9594,146,26012
2172,306,1004,17,6,198,626,10,2160
2173,1588,4978,289,52,821,3281,64,11070
2174,209,712,0,3,108,608,10,1657
2175,38,617,25,8,127,691,15,1522
2176,2418,15016,170,93,1731,19645,201,39277
2177,849,4754,43,17,488,6684,48,12883
2178,84,1448,34,16,356,1503,44,3477
2179,266,1900,78,21,434,2520,66,5285
2190,1113,6350,159,58,799,10770,167,19412
2191,476,1933,36,17,272,2291,36,5053
2192,1334,3132,147,38,509,5239,63,10462
2193,2532,4004,208,38,811,5080,70,12745
2194,3904,5530,465,63,909,9807,117,20799
2195,2612,5379,297,71,770,11116,156,20406
2196,2245,7975,227,91,1025,12950,204,24715
2197,401,2457,55,17,295,3713,59,7002
2198,356,2702,48,17,373,3505,44,7042
2199,1078,4553,93,43,627,7567,83,14031
2200,3179,10560,504,100,1322,18050,204,33912
2203,2868,3303,333,39,898,4069,45,11550
2204,5607,5508,1059,72,1551,8829,105,22731
2205,4718,4021,304,52,877,6759,101,16838
2206,2069,5367,201,44,964,7094,95,15834
2207,3159,7503,325,82,1417,10713,129,23325
2208,1369,3319,116,22,624,4680,61,10206
2209,2047,3923,144,29,695,6154,57,13045
2210,3212,7927,224,50,1581,12189,140,25321
2211,1857,4818,106,42,823,6260,65,13982
2212,1744,4475,152,21,711,5667,50,12818
2213,2084,6736,151,45,1192,7090,79,17375
2214,199,1436,27,5,222,1253,13,3151
2216,5201,6845,454,85,1309,9961,172,24019
2217,4195,6691,860,49,1387,9011,120,22318
2218,2980,4008,264,37,801,5609,73,13770
2219,981,4273,110,22,738,4795,64,10987
2220,5974,6431,816,64,1394,13025,163,27866
2221,1538,4938,125,39,935,5795,58,13424
2222,2298,3126,155,23,668,4343,61,10679
2223,3336,5505,268,48,1357,6542,60,17113
2224,790,4598,107,31,870,5182,60,11634
2225,590,1708,21,10,433,1339,10,4111
2226,1751,3450,118,26,922,3483,31,9780
2227,1369,4937,180,30,1060,4085,48,11713
2228,1445,5675,440,39,1154,6184,75,15015
2229,1979,9669,395,79,2071,8913,118,23229
2230,2517,10270,675,62,2224,8599,143,24488
2231,60,860,27,3,134,594,16,1696
2232,3872,10203,393,66,2308,9682,120,26643
2233,2327,10244,282,50,2199,7898,87,23082
2234,2458,11984,189,62,2215,7926,95,24935
2250,3711,20608,814,126,4806,24625,254,54935
2251,1177,10537,200,61,2598,11878,144,26594
2256,1354,3352,169,26,985,7302,82,13267
2257,2026,7090,260,61,1996,12613,145,24186
2258,193,1905,44,16,415,1555,22,4148
2259,1386,18850,400,117,3700,22854,247,47546
2260,754,8335,183,55,1982,7434,97,18847
2261,1167,17355,407,95,3342,20505,238,43104
2262,274,6545,90,48,1140,8410,104,16614
2263,389,6654,184,46,1272,11528,146,20222
2264,238,4138,76,32,863,6491,58,11888
2265,75,1745,64,12,379,2506,29,4816
2267,22,830,27,5,177,1291,8,2364
2278,10,1092,8,5,142,777,11,2057
2280,222,9246,206,41,1854,10232,62,21862
2281,117,4516,105,16,922,6299,57,12037
2282,100,5438,111,20,1098,5270,41,12075
2283,283,7282,154,46,1463,10161,97,19482
2284,105,3604,91,11,634,4262,48,8754
2285,313,11784,201,39,1943,9742,101,24134
2286,19,1452,22,6,220,1385,10,3106
2287,460,13093,306,52,2221,12995,118,29245
2289,315,7238,295,42,1382,5992,77,15343
2290,355,12016,385,62,2294,11911,100,27120
2291,151,5345,461,26,1060,3970,49,11062
2292,66,942,96,5,180,737,12,2027
2293,70,976,161,7,191,782,6,2193
2294,32,747,91,5,123,642,9,1653
2295,174,1890,115,7,357,3357,22,5925
2296,95,675,96,9,145,579,9,1601
2297,34,539,91,7,116,575,13,1365
2298,187,3139,223,20,665,3828,38,8099
2299,223,3589,208,12,721,4398,41,9188
2300,313,3747,933,29,819,3666,29,9546
2302,26,175,46,0,32,260,5,543
2303,280,2847,393,10,685,3522,30,7772
2304,339,5218,359,33,982,5894,64,12887
2305,239,4480,270,28,1001,3935,51,10007
2306,46,585,22,0,72,1882,18,2624
2307,50,1311,29,4,221,1635,11,3265
2308,22,173,75,5,180,864,7,1327
2311,0,248,25,0,85,335,5,699
2312,4,397,13,3,102,636,10,1170
2314,4,56,50,0,9,87,3,204
2315,92,4098,228,27,1001,7001,49,12494
2316,42,1871,82,15,385,2464,22,4889
2317,45,1686,68,16,395,3043,31,5273
2318,92,4229,119,25,947,4043,75,9541
2319,42,1737,46,12,403,3218,38,5498
2320,285,12320,353,66,2356,11372,117,26872
2321,95,5468,95,27,1119,4497,54,11353
2322,193,6659,133,41,1181,6319,65,14585
2323,243,9023,195,40,1615,9314,96,20523
2324,112,7040,257,33,1329,10579,78,19437
2325,106,8099,236,35,1835,12390,142,22845
2326,30,2265,37,11,410,3037,34,5832
2327,29,2340,55,12,395,3363,37,6241
2328,4,785,66,5,229,836,23,1948
2329,0,546,89,14,197,814,22,1688
2330,62,7466,210,52,1455,6625,80,15954
2331,0,30,168,83,25,3,7,318
2333,38,4492,145,20,800,4948,58,10499
2334,12,977,17,9,166,915,35,2119
2335,15,2260,44,5,601,1749,29,4709
2336,6,881,41,7,223,884,17,2058
2337,22,2734,187,37,648,2562,47,6238
2338,5,389,47,5,110,623,9,1192
2339,4,171,23,7,86,260,4,545
2340,186,17451,764,115,2975,17126,228,38848
2341,4,358,23,3,71,841,7,1305
2342,0,150,10,4,62,136,10,377
2343,9,1388,142,11,471,1960,35,4031
2344,0,270,16,5,104,213,6,607
2345,3,269,14,0,62,233,12,594
2346,6,777,78,3,206,1501,15,2590
2347,0,372,75,4,167,967,17,1613
2350,125,8220,674,75,1790,9600,105,20582
2351,4,86,19,0,64,793,0,972
2352,9,1007,25,5,189,884,17,2131
2353,0,355,14,0,64,490,7,931
2354,12,983,110,33,469,1298,36,2939
2355,5,181,14,5,66,289,3,563
2356,0,22,6,0,8,84,0,130
2357,11,1006,108,15,321,1933,20,3420
2358,7,1162,98,7,305,1490,20,3099
2359,3,156,12,0,72,350,9,605
2360,38,4324,208,33,924,5936,127,11591
2361,4,161,26,7,93,441,6,746
2365,8,1112,74,19,378,1357,21,2972
2369,6,185,10,0,42,491,10,751
2370,28,1991,188,18,556,3476,57,6314
2371,0,212,41,3,101,651,14,1020
2372,11,1166,107,32,417,2230,34,3994
2379,0,76,19,3,71,87,0,256
2380,120,3462,174,23,691,3654,60,8199
2381,4,353,32,4,131,442,5,968
2382,19,360,42,9,113,528,0,1065
2386,0,87,17,4,56,114,0,276
2387,0,60,9,0,32,56,0,162
2388,5,739,91,6,203,996,19,2054
2390,69,2957,174,19,683,2973,55,6935
2395,0,107,15,4,40,425,5,599
2396,0,198,24,0,49,425,9,712
2397,0,93,10,9,55,116,0,291
2398,0,66,14,0,46,59,0,189
2399,0,197,17,8,45,199,0,471
2400,17,3369,238,32,608,3612,63,7926
2401,0,113,13,0,40,89,0,248
2402,3,455,40,8,137,802,10,1461
2403,0,178,15,3,91,268,0,558
2404,0,389,63,13,171,928,3,1576
2405,0,135,23,6,83,140,6,406
2408,0,100,21,3,58,97,3,290
2409,3,186,24,0,53,486,3,764
2410,0,58,18,0,39,99,0,224
2411,0,45,6,0,10,25,0,92
2415,4,118,3,0,36,158,0,317
2420,12,1130,68,14,333,1774,21,3344
2421,10,661,39,6,173,544,19,1451
2422,19,1305,113,22,431,2559,40,4481
2423,4,707,67,3,261,1502,14,2565
2424,0,90,3,0,40,203,6,345
2425,10,536,31,0,157,700,9,1443
2426,0,179,10,6,50,344,3,594
2427,6,577,43,4,138,2039,17,2815
2428,67,5430,403,46,1304,13376,130,20760
2429,37,2613,105,19,754,4516,60,8112
2430,105,8916,403,67,1920,16512,168,28090
2431,11,1138,94,6,299,2863,41,4451
2439,4,786,26,12,192,1404,9,2435
2440,41,5488,271,45,1200,10620,162,17828
2441,10,1172,76,17,342,1951,37,3601
2443,22,1801,142,18,462,5395,43,7887
2444,212,14168,682,112,2668,20599,152,38591
2445,22,2020,55,10,420,2806,32,5349
2446,31,4060,147,27,861,5514,78,10721
2447,26,1863,99,22,493,3359,40,5895
2448,27,2051,94,22,473,4977,45,7695
2449,9,488,35,0,166,1069,11,1774
2450,165,13970,727,110,2826,17892,195,35891
2452,49,4824,198,35,826,6289,65,12291
2453,5,619,104,9,317,1276,21,2350
2454,18,2045,170,19,688,3074,49,6062
2455,10,808,46,8,184,1535,19,2613
2456,53,4748,167,36,833,6138,66,12042
2460,81,7938,530,53,1692,13550,122,23976
2462,9,621,51,8,174,1200,9,2072
2463,17,1944,119,30,480,3757,35,6382
