MTW06P Method of Travel to Work (6 travel modes),Public Transport,Vehicle,Active Transport,Other Mode,Worked at home or Did not go to work,Not applicable,Mode not stated,Total
3011,3901,4822,960,43,1314,7642,98,18784
3012,3168,7695,628,55,1502,8663,128,21847
3013,2121,4377,495,41,1074,4006,29,12139
3015,2021,5613,352,42,1232,4499,61,13819
3016,1411,4549,406,46,1162,4998,55,12622
3018,1137,3917,174,33,728,4568,38,10589
3019,680,2382,76,14,293,4011,46,7506
3020,3079,12074,344,80,1586,19590,292,37046
3021,3073,13938,220,119,1688,25282,388,44702
3022,201,900,16,3,122,1294,12,2545
3023,3368,20824,233,146,2814,21006,271,48665
3024,1741,7392,96,54,1214,6803,98,17393
3025,658,3242,112,20,540,5261,67,9897
3026,5,20,3,4,0,44,0,70
3027,863,2022,24,17,379,1557,35,4897
3028,2089,9460,175,76,1482,10615,155,24050
3029,6484,29669,466,240,4576,28531,443,70412
3030,6820,32499,640,234,5467,29761,398,75830
3031,3318,3881,1083,62,1223,5997,65,15618
3032,3794,8978,842,78,1810,9164,109,24775
3033,742,4797,70,36,783,5524,72,12018
3034,581,3534,68,28,530,5048,61,9847
3036,172,2277,34,14,357,2038,31,4927
3037,2971,18000,161,103,2547,15283,219,39289
3038,1272,10445,120,57,1370,9472,158,22894
3039,1929,4073,505,56,988,4387,46,11979
3040,2896,8442,446,60,1884,7833,93,21658
3041,993,4239,181,38,843,3790,47,10133
3042,955,5461,159,35,900,5508,71,13079
3043,756,6117,81,35,796,6875,106,14773
3044,2772,8282,384,68,1554,8946,95,22100
3045,4,14,4,0,6,71,0,97
3046,3249,9299,273,72,1504,13461,170,28018
3047,772,4088,107,48,563,10462,129,16174
3048,505,3989,37,41,448,8830,97,13951
3049,381,3593,44,24,508,3075,48,7674
3050,0,3,0,0,15,74,0,100
3051,1922,1841,1960,53,999,6519,76,13372
3052,786,948,604,19,410,2501,19,5275
3053,1849,1334,2173,33,906,11079,57,17437
3054,1350,1705,1211,26,720,2462,26,7503
3055,2202,3553,848,34,946,4600,58,12250
3056,4870,5041,2434,88,1933,7396,97,21863
3057,2467,2603,1046,42,831,3260,51,10294
3058,4406,8634,1339,82,2117,11425,186,28193
3059,595,6213,33,45,862,4551,107,12407
3060,915,3195,118,46,566,6080,100,11020
3061,150,1068,49,8,143,2599,22,4035
3062,0,0,0,0,0,0,0,0
3063,9,213,0,0,52,186,5,465
3064,3853,23286,229,160,3093,24874,357,55858
3065,1379,1488,1751,26,708,3829,72,9251
3066,1348,1392,1295,33,593,2818,52,7530
3067,1714,1893,900,35,591,2379,35,7551
3068,3035,3865,2117,60,1528,5366,63,16035
3070,4032,5676,1748,58,1862,7058,118,20554
3071,2579,4902,950,37,1340,5701,76,15586
3072,3937,8602,1020,71,1943,11880,142,27592
3073,4578,13612,539,88,2362,20846,233,42255
3074,1101,5321,103,30,678,9785,138,17154
3075,1087,6079,81,34,767,10257,146,18445
3076,1879,10607,157,80,1446,10852,191,25212
3078,1643,3138,597,38,916,3463,40,9835
3079,1736,4727,469,42,1243,5041,44,13306
3081,979,3549,259,27,694,5471,59,11039
3082,1512,11152,143,54,1569,10056,159,24651
3083,2030,9678,232,51,1703,13061,130,26892
3084,2390,7352,498,60,1771,8567,81,20716
3085,1203,4311,328,43,877,4439,40,11246
3086,37,104,47,0,147,550,7,889
3087,741,2939,72,21,574,3000,36,7374
3088,1861,9442,210,42,1984,8169,109,21823
3089,576,4908,90,25,892,2850,47,9388
3090,82,987,11,9,187,589,17,1887
3091,42,638,15,10,117,491,14,1323
3093,197,1337,25,12,291,1382,14,3271
3094,704,3057,96,22,675,2635,36,7226
3095,1678,10261,286,75,2356,7551,92,22293
3096,89,726,14,5,158,628,11,1623
3097,35,490,14,0,147,469,9,1157
3099,243,1815,36,9,451,1348,19,3916
3101,2255,7055,766,82,1936,8467,90,20654
3102,575,1989,127,16,498,2072,19,5293
3103,1206,4182,222,43,1113,6057,73,12896
3104,1436,6158,203,45,1410,7280,76,16601
3105,637,3482,56,25,584,4396,54,9235
3106,874,5443,72,29,1123,6429,51,14033
3107,835,4134,63,31,824,5343,45,11269
3108,1477,5985,251,39,1185,9038,81,18048
3109,1888,8672,156,62,1725,11046,87,23633
3111,665,4034,75,20,881,4526,37,10237
3113,365,3122,88,18,743,2394,21,6751
3114,145,1378,30,9,391,1104,14,3064
3115,109,1581,28,9,352,1037,20,3132
3116,343,3887,45,13,733,3083,27,8126
3121,5870,7343,3307,107,2009,8681,119,27438
3122,3949,5711,1314,60,1808,7548,75,20453
3123,2047,3913,572,41,1039,4383,33,12027
3124,2368,5789,483,39,1734,7762,55,18226
3125,1200,3731,197,34,924,6955,32,13071
3126,776,2083,141,19,652,2948,28,6651
3127,2181,5190,336,39,1488,5765,42,15047
3128,2181,4782,590,33,1201,8216,63,17076
3129,1503,5072,315,42,1108,6177,48,14271
3130,2858,9225,422,69,2153,11406,83,26216
3131,1966,6688,233,33,1395,8147,69,18523
3132,1781,5013,188,31,1118,4942,59,13141
3133,1415,7071,148,47,1424,7978,83,18159
3134,2143,11454,306,52,2243,10348,106,26652
3135,1501,6627,213,19,1401,6333,58,16148
3136,2351,16020,296,68,2993,14293,193,36210
3137,451,5307,109,20,884,4464,69,11304
3138,1011,8480,78,31,1459,6500,69,17632
3139,246,5408,113,33,1095,3915,103,10912
3140,600,6252,130,19,1137,5275,56,13461
3141,5394,5075,2712,98,1732,8269,84,23363
3142,1434,3482,459,43,994,4994,70,11479
3143,1504,2355,268,35,702,2924,24,7815
3144,1192,2890,342,29,774,3721,53,8994
3145,2422,6386,543,58,1620,8190,93,19316
3146,2798,7582,630,54,1972,7358,75,20485
3147,1323,4066,290,30,1024,4936,60,11717
3148,843,2712,87,23,467,3141,33,7298
3149,2619,9981,354,60,2064,12705,123,27908
3150,4003,17796,567,139,3379,24152,207,50246
3151,770,3028,72,37,544,4339,30,8812
3152,1643,11942,241,62,2051,11817,93,27857
3153,1049,7494,190,42,1212,6870,68,16921
3154,156,1713,26,3,333,1302,17,3540
3155,1074,8083,168,34,1391,7559,84,18399
3156,1443,14835,248,67,2507,11393,153,30649
3158,348,2635,50,13,541,1777,22,5378
3159,118,981,12,4,228,760,13,2117
3160,449,3397,101,23,767,2459,39,7226
3161,1669,4467,310,46,1073,5132,46,12758
3162,1537,5411,257,39,1242,5827,76,14390
3163,5009,8684,609,62,2096,10866,108,27428
3165,2003,8937,349,56,1776,8645,84,21850
3166,2657,6882,410,53,1363,8392,76,19832
3167,735,2999,97,20,529,3341,29,7745
3168,1761,4166,673,38,850,10587,41,18125
3169,1709,5928,186,45,809,8324,80,17074
3170,987,6631,100,41,979,7217,83,16031
3171,1369,5645,215,65,655,10163,124,18236
3172,961,8013,167,49,1043,8607,88,18930
3173,1205,9232,103,62,1072,8919,86,20677
3174,2321,11401,183,100,1358,16200,223,31788
3175,2166,15028,374,127,1722,23736,280,43439
3177,344,2995,50,17,313,5294,94,9112
3178,1213,14151,166,83,2236,9492,101,27438
3179,239,2352,31,16,325,1895,23,4880
3180,300,2764,41,10,413,2590,17,6148
3181,4012,4988,1753,59,1365,6343,67,18591
3182,4724,5676,1672,106,1665,7693,93,21623
3183,3085,5138,927,64,1300,4973,80,15569
3184,2186,5130,772,45,1264,3936,63,13395
3185,1849,3496,441,45,930,3703,53,10518
3186,2040,6103,490,79,1919,8498,93,19222
3187,1101,4666,199,45,1193,5556,53,12810
3188,1564,5116,372,51,1447,5869,49,14470
3189,444,1881,106,18,348,2028,35,4844
3190,912,3267,191,20,768,3207,32,8400
3191,990,2909,238,20,772,3463,35,8438
3192,1572,7332,391,60,1473,7374,69,18280
3193,1109,6180,273,55,1590,6633,56,15888
3194,1048,4378,196,35,905,4255,48,10863
3195,2399,12755,427,76,2612,10404,93,28768
3196,1620,8792,197,55,1603,8449,90,20805
3197,513,4330,78,23,831,3810,34,9618
3198,698,5675,118,34,1023,6099,76,13736
3199,1603,18514,576,106,3385,20512,231,44925
3200,182,1368,29,9,211,2864,31,4697
3201,534,8066,119,42,1132,6562,86,16535
3202,158,1002,43,8,188,830,11,2244
3204,3166,9134,596,92,2057,9463,79,24589
3205,1605,2168,1222,41,703,3881,29,9651
3206,1128,2569,575,50,769,3426,37,8553
3207,1850,4670,1103,68,1200,5028,50,13968
3211,35,452,0,0,126,451,4,1077
3212,601,5800,99,38,1077,5656,67,13334
3213,65,1541,41,14,303,1210,36,3203
3214,377,5870,235,39,957,11699,142,19322
3215,562,6907,237,39,1171,8287,83,17274
3216,1441,20048,599,99,4050,19741,177,46154
3217,170,2696,43,13,594,1479,27,5017
3218,502,4699,474,28,1065,4202,75,11051
3219,519,6373,345,31,1137,8119,90,16619
3220,608,5222,951,38,1222,5566,62,13673
3221,6,259,12,0,91,210,3,584
3222,245,4923,105,24,1039,5860,70,12258
3223,105,1679,68,9,488,4127,25,6507
3224,227,5158,64,21,992,4985,36,11487
3225,63,904,86,5,378,2087,14,3544
3226,225,4997,192,39,1085,4658,62,11258
3227,142,1458,83,8,453,1571,24,3730
3228,397,6240,252,37,1639,5183,78,13834
3230,29,774,63,4,263,1008,20,2163
3231,15,383,18,0,141,513,4,1081
3232,8,298,68,9,111,466,3,972
3233,14,508,138,9,236,855,7,1774
3234,0,46,9,0,35,60,0,153
3235,9,123,12,5,58,108,3,307
3236,4,73,9,0,28,95,0,202
3237,3,64,8,5,44,72,0,190
3238,0,63,11,3,37,75,3,189
3239,0,107,14,3,59,169,4,358
3240,22,760,16,6,258,515,9,1593
3241,14,773,39,10,258,1007,17,2123
3242,9,260,19,0,111,270,0,663
3243,6,111,13,0,76,88,3,288
3249,6,1070,64,18,404,992,29,2581
3250,41,4156,331,22,688,4726,77,10036
3251,0,161,12,0,69,187,3,434
3254,0,106,10,6,27,87,0,236
3260,8,1368,157,28,497,1868,37,3952
3264,4,670,57,9,159,963,16,1885
3265,7,827,107,19,368,695,31,2053
3266,11,866,138,16,377,1081,20,2498
3267,0,67,6,5,50,67,0,194
3268,0,720,123,16,379,836,22,2094
3269,4,159,57,9,122,200,5,553
3270,0,68,9,5,26,101,0,205
3271,0,46,3,0,41,64,0,159
3272,6,419,40,6,132,631,12,1244
3273,0,28,11,0,19,56,0,115
3274,0,52,3,0,38,93,3,193
3275,0,177,7,0,41,106,4,336
3276,0,148,14,4,71,139,3,382
3277,10,687,43,7,221,536,12,1506
3278,0,97,3,8,36,92,0,236
3279,0,75,13,3,43,75,11,217
3280,148,11417,780,69,2005,11378,139,25931
3281,0,658,27,3,183,419,6,1300
3282,6,867,33,0,190,762,13,1877
3283,3,483,18,6,173,364,4,1053
3284,15,929,105,10,323,1435,19,2838
3285,3,380,22,10,163,407,8,1003
3286,0,154,17,7,72,203,3,455
3287,4,132,25,3,74,100,9,340
3289,0,195,34,8,93,274,3,610
3292,0,45,7,0,22,101,0,172
3293,0,64,11,0,52,116,0,245
3294,3,239,57,14,151,299,0,770
3300,33,3367,277,28,693,3972,54,8429
3301,4,393,31,4,206,301,16,948
3302,0,109,6,0,54,127,4,303
3303,0,93,8,9,51,103,3,263
3304,4,837,67,8,240,1101,24,2286
3305,42,4101,233,42,955,5220,87,10672
3309,0,29,8,0,8,54,0,101
3310,0,85,10,0,32,115,0,247
3311,8,433,47,4,102,864,7,1468
3312,0,263,30,0,182,355,5,850
3314,4,149,30,0,99,136,9,421
3315,3,412,43,12,247,645,12,1367
3317,0,54,8,3,31,50,0,154
3318,0,318,45,7,163,515,10,1066
3319,0,122,8,3,52,109,0,303
3321,12,598,21,0,150,363,16,1163
3322,0,44,0,0,29,72,0,146
3323,0,17,6,3,27,28,0,75
3324,0,122,15,0,72,234,3,455
3325,4,100,18,0,67,200,3,391
3328,17,678,6,5,134,492,7,1332
3329,5,75,0,0,40,91,9,228
3330,0,48,6,0,34,86,0,175
3331,61,2226,52,5,450,1647,29,4473
3332,7,364,8,0,91,294,6,777
3333,10,255,21,6,89,278,5,656
3334,0,171,3,0,48,236,4,466
3335,331,2149,22,13,301,1665,36,4525
3337,1157,11889,196,71,1751,12752,176,28002
3338,1006,7224,89,42,1140,8160,114,17769
3340,723,7266,196,40,1360,7031,88,16706
3341,31,627,19,0,150,497,21,1355
3342,130,1017,40,8,289,1307,20,2806
3345,42,381,10,5,83,390,10,920
3350,1094,20346,1216,101,4157,20972,230,48114
3351,57,2914,64,18,660,2715,56,6488
3352,157,5708,165,48,1430,5009,102,12614
3355,144,3556,165,14,641,6166,69,10759
3356,148,5310,104,17,935,6631,66,13211
3357,63,1189,49,6,300,1242,13,2862
3360,5,186,7,7,76,369,6,655
3361,3,146,17,6,69,311,0,551
3363,28,965,44,0,241,1576,23,2877
3364,18,624,46,11,302,751,20,1769
3370,25,418,28,0,164,884,9,1523
3371,0,242,8,4,70,543,9,874
3373,10,634,40,4,186,997,17,1882
3374,0,130,7,0,51,144,0,337
3375,0,55,0,4,30,65,0,160
3377,24,2872,228,13,596,4197,47,7976
3378,0,22,5,0,42,29,0,104
3379,3,140,36,0,111,366,5,663
3380,15,1845,135,11,396,2705,24,5141
3381,5,364,58,9,156,423,0,1015
3384,0,156,12,3,57,247,5,479
3385,3,166,16,0,52,201,3,438
3387,0,84,13,5,53,104,0,256
3388,0,140,17,4,65,252,7,473
3390,5,252,19,5,90,384,3,755
3391,0,47,3,0,28,63,0,140
3392,4,122,15,0,53,306,0,503
3393,7,721,99,12,197,1193,13,2243
3395,0,74,24,4,42,174,8,324
3396,5,178,41,5,68,328,6,632
3400,62,4992,397,38,882,5405,64,11846
3401,11,1652,86,27,524,1165,24,3487
3407,3,102,18,5,87,136,11,357
3409,4,271,29,5,153,288,12,768
3412,0,80,10,0,27,142,0,260
3413,0,66,8,3,37,46,0,171
3414,0,464,43,10,127,926,4,1573
3415,0,8,0,3,6,14,0,35
3418,5,821,144,15,265,1058,26,2328
3419,0,251,53,9,72,299,4,683
3420,0,73,19,6,45,66,0,211
3423,0,89,14,0,48,267,0,412
3424,3,166,40,5,72,348,0,638
3427,158,1027,9,3,194,867,23,2290
3428,11,244,4,3,46,258,3,565
3429,1748,13239,214,68,2572,11139,124,29100
3430,4,112,5,0,31,106,4,264
3431,199,1441,22,5,375,1072,16,3133
3432,8,60,7,0,16,67,0,154
3433,5,68,4,0,28,66,4,173
3434,122,1783,43,5,426,1611,31,4024
3435,58,933,36,9,288,959,20,2305
3437,353,3737,79,21,847,3055,31,8121
3438,111,797,15,3,194,691,4,1810
3440,83,613,24,4,200,656,9,1594
3441,63,410,19,9,134,418,12,1066
3442,376,2144,86,19,759,2483,48,5913
3444,295,2568,192,17,899,3580,49,7601
3446,37,347,11,9,89,379,0,868
3447,19,147,0,0,35,173,8,379
3448,14,261,11,0,103,345,6,746
3450,254,1580,228,16,557,3102,36,5773
3451,101,1548,60,10,460,2585,33,4796
3453,20,579,27,0,180,604,10,1417
3458,64,501,34,6,226,845,12,1677
3460,34,662,100,9,255,1161,20,2238
3461,55,1237,57,11,434,1625,27,3446
3462,12,326,17,0,109,518,4,988
3463,25,619,50,7,251,1194,22,2159
3464,3,349,9,6,80,431,7,886
3465,22,2450,208,13,574,4920,44,8233
3467,0,273,30,4,83,595,10,992
3468,0,71,3,0,22,153,0,254
3469,0,66,0,0,35,141,0,244
3472,0,297,30,7,78,877,5,1287
3475,0,50,11,0,47,190,0,298
3477,3,244,24,17,116,308,4,712
3478,0,713,78,10,160,1154,20,2128
3480,5,442,101,6,172,816,12,1550
3482,0,26,9,3,18,89,0,139
3483,0,240,47,9,83,335,0,722
3485,0,67,6,3,32,137,0,261
3487,0,22,3,0,12,35,0,71
3488,0,32,0,0,17,39,0,90
3489,0,14,4,0,7,23,0,52
3490,3,337,58,20,118,566,12,1109
3491,0,29,0,0,19,50,0,100
3494,11,231,46,0,41,230,12,561
3496,30,1971,105,8,443,2408,52,5018
3498,18,1969,62,14,396,1770,33,4264
3500,99,10589,572,62,1590,13494,176,26594
3501,0,766,31,9,165,509,9,1495
3505,17,1559,68,10,350,1872,24,3897
3506,0,9,0,0,8,11,0,30
3507,0,36,3,5,10,73,0,122
3509,0,78,17,0,20,80,0,193
3512,3,109,9,9,49,117,0,301
3515,6,739,16,0,156,532,9,1455
3516,0,191,33,6,76,255,6,575
3517,4,327,36,4,101,714,7,1189
3518,0,271,34,13,78,732,11,1137
3520,0,17,6,0,5,133,0,158
3521,6,208,6,0,74,218,4,518
3522,5,106,3,0,26,138,3,288
3523,13,847,43,7,248,1990,11,3167
3525,7,328,63,10,126,583,8,1111
3527,4,182,53,4,68,379,3,684
3529,0,22,16,0,15,33,0,89
3530,0,32,4,9,11,50,0,106
3531,0,51,0,3,13,86,0,158
3533,0,185,28,7,52,365,5,651
3537,0,215,59,10,114,455,7,861
3540,0,61,6,0,38,154,3,259
3542,0,35,10,0,28,62,0,131
3544,0,55,10,0,44,94,0,205
3546,0,91,32,0,49,154,6,332
3549,13,951,113,8,205,1452,41,2787
3550,459,13132,1262,66,2635,15922,139,33620
3551,217,11365,225,53,2484,8029,161,22528
3555,190,6669,187,40,1043,8049,63,16247
3556,110,4122,87,19,784,5315,59,10504
3557,5,258,12,6,92,243,5,611
3558,3,228,45,0,93,402,5,772
3559,0,147,18,8,72,191,3,446
3561,12,1242,110,16,458,1788,30,3655
3562,0,85,11,5,29,98,0,227
3563,0,243,26,0,99,283,6,650
3564,48,5498,335,27,1098,5938,96,13046
3565,0,30,4,0,15,33,0,85
3566,0,170,18,5,61,192,5,445
3567,0,173,47,0,74,239,4,533
3568,6,873,87,12,252,1257,26,2507
3570,0,209,12,0,70,292,9,606
3571,0,66,8,0,61,117,0,263
3572,0,46,3,0,28,34,6,112
3573,0,79,12,0,47,118,5,256
3575,0,202,28,4,95,314,7,653
3576,0,18,7,0,13,20,0,59
3579,12,1519,140,27,480,2252,39,4464
3580,6,290,18,0,75,450,9,848
3581,0,49,3,0,25,62,0,143
3583,3,55,5,0,26,80,0,159
3584,0,340,16,3,74,466,9,901
3585,24,3667,361,21,645,4296,84,9098
3586,0,296,12,0,78,260,8,657
3588,0,126,3,0,23,128,5,290
3589,0,108,12,5,28,121,3,279
3590,0,117,6,0,23,106,0,258
3591,0,60,3,0,20,49,0,133
3594,6,156,4,4,31,244,3,451
3595,0,133,5,4,36,376,8,557
3596,0,18,5,0,8,36,0,76
3597,0,148,13,4,42,160,0,366
3599,0,35,7,0,10,62,0,112
3607,3,37,7,0,12,52,0,106
3608,14,746,72,10,185,1044,16,2086
3610,8,395,32,5,131,874,14,1456
3612,4,451,39,8,106,889,7,1508
3614,5,351,15,0,88,220,0,679
3616,10,1641,152,12,434,2055,34,4337
3617,0,50,3,0,34,52,0,136
3618,5,240,7,0,49,262,3,561
3620,10,2471,208,13,626,3396,57,6782
3621,3,732,65,6,209,848,13,1869
3622,0,144,22,0,58,154,7,376
3623,0,238,28,4,90,394,6,759
3624,0,153,8,5,58,228,5,454
3629,28,3037,97,9,531,3700,59,7465
3630,115,9743,672,66,1418,12774,156,24946
3631,48,4686,139,28,843,3340,60,9152
3633,0,204,13,0,64,186,4,467
3634,6,683,41,3,193,507,18,1449
3635,3,192,10,0,67,175,4,445
3636,11,1577,130,13,433,2138,31,4332
3637,0,188,18,6,94,153,8,464
3638,3,608,94,3,177,804,24,1709
3639,3,149,18,3,67,215,8,467
3640,3,306,48,5,113,280,3,765
3641,4,358,34,4,127,440,12,981
3646,0,164,8,6,85,186,7,468
3647,0,9,8,0,3,21,0,39
3649,0,121,11,3,54,155,7,356
3658,102,2152,55,16,404,2262,32,5023
3659,18,242,7,5,65,268,3,609
3660,83,2225,163,8,483,3392,59,6416
3662,13,335,183,7,58,188,6,786
3663,0,59,5,0,21,54,0,141
3664,10,330,19,3,124,384,13,882
3665,0,92,6,4,46,155,4,309
3666,22,1294,139,11,442,2052,32,3992
3669,0,380,26,4,159,603,4,1171
3670,0,197,9,0,57,222,7,496
3672,39,3024,231,23,617,4745,55,8739
3673,6,538,35,4,232,620,12,1446
3675,9,647,34,0,207,577,14,1482
3677,68,5757,497,29,1087,7308,98,14853
3678,21,2255,139,15,718,1984,52,5182
3682,4,209,12,3,68,180,6,474
3683,3,620,17,0,162,658,9,1466
3685,6,928,66,3,241,996,14,2253
3687,9,375,20,0,65,435,10,910
3688,0,511,9,0,122,323,12,977
3690,154,12475,423,66,1876,11588,141,26724
3694,0,19,45,3,0,20,0,92
3695,0,174,4,5,54,136,3,383
3697,5,175,7,6,71,221,0,489
3698,9,247,32,3,93,343,3,732
3699,5,215,116,38,85,465,0,929
3700,3,386,51,8,107,515,15,1088
3701,0,291,30,0,156,406,5,892
3704,0,14,0,0,0,7,0,20
3705,5,80,6,0,30,83,3,206
3708,0,16,0,0,13,21,0,51
3709,0,68,19,0,56,119,5,265
3711,5,143,7,0,53,210,0,418
3712,0,102,23,3,37,154,3,316
3713,9,250,35,3,64,575,0,930
3714,22,1024,114,11,292,1512,22,2996
3715,4,83,11,5,29,132,4,266
3717,9,742,66,9,256,1114,18,2222
3718,0,16,0,0,14,30,5,70
3719,0,118,3,0,48,154,3,323
3720,0,159,8,0,62,253,0,488
3722,34,1563,214,14,473,1720,43,4048
3723,31,706,151,37,293,1283,19,2518
3725,0,201,14,0,74,224,3,517
3726,0,96,9,10,59,162,8,338
3727,0,76,4,0,33,147,8,264
3728,0,187,8,4,68,263,3,533
3730,11,2431,174,24,609,4028,41,7320
3732,0,169,19,4,88,204,6,486
3733,0,66,9,0,31,72,3,175
3735,0,210,20,0,79,184,7,508
3737,12,1344,114,13,354,1796,31,3660
3738,0,90,5,0,14,65,0,180
3739,0,65,4,6,30,62,4,170
3740,0,357,27,3,122,364,14,886
3741,29,758,198,16,335,1282,15,2635
3744,0,157,5,3,36,157,3,368
3746,0,128,0,0,19,175,4,337
3747,21,1362,135,24,456,1848,34,3878
3749,10,644,47,7,187,647,8,1549
3750,585,3000,24,17,484,2405,65,6586
3751,5,79,0,0,25,126,5,236
3752,1329,8943,87,42,1327,6494,87,18313
3753,54,880,9,0,158,596,9,1706
3754,1520,14159,144,61,2455,8664,127,27121
3755,4,96,6,0,22,91,0,218
3756,391,4278,54,25,797,3532,64,9136
3757,138,3153,51,15,646,3021,76,7099
3758,68,840,8,11,149,623,11,1710
3759,45,410,8,0,104,308,9,887
3760,6,163,0,0,37,93,9,308
3761,41,422,10,3,136,374,8,994
3762,0,47,0,0,17,54,4,120
3763,30,568,16,4,135,500,0,1248
3764,224,2970,85,12,615,3334,64,7301
3765,197,2584,35,12,514,2134,17,5496
3766,47,484,13,4,98,338,3,997
3767,48,424,13,0,116,421,15,1035
3770,76,1248,44,11,296,904,21,2607
3775,90,1382,42,8,400,1148,37,3113
3777,142,3545,149,25,903,3946,80,8785
3778,0,71,9,0,30,67,0,171
3779,7,75,26,0,48,189,0,356
3781,59,1792,22,5,325,1207,39,3465
3782,151,3025,56,20,655,2422,20,6342
3783,27,878,31,8,214,680,15,1849
3785,12,25,0,0,4,24,0,64
3786,80,555,9,0,129,469,6,1250
3787,55,378,10,4,105,311,6,867
3788,62,595,27,6,186,545,10,1424
3789,11,94,3,0,16,96,0,228
3791,69,506,16,10,157,421,5,1171
3792,49,355,6,0,106,337,8,851
3793,67,1277,51,8,314,1118,15,2850
3795,16,443,30,0,137,382,4,1014
3796,289,3903,61,11,717,2731,39,7752
3797,38,1102,38,4,274,1381,25,2867
3799,69,1771,51,16,398,2415,30,4751
3800,60,87,75,0,137,1848,0,2207
3802,818,8846,64,47,1118,8863,95,19849
3803,422,3488,53,27,453,4235,55,8730
3804,167,3259,26,14,609,2522,44,6646
3805,2213,21275,202,119,2977,17068,234,44096
3806,1895,18014,204,96,3165,14076,164,37611
3807,249,2931,51,19,507,1806,44,5602
3808,43,1194,21,4,285,816,16,2384
3809,327,3047,30,15,509,1552,29,5500
3810,1542,16802,263,90,2661,14389,174,35916
3812,39,935,35,5,214,655,15,1893
3813,14,315,15,0,71,304,7,728
3814,58,737,25,5,218,714,24,1776
3815,54,1011,28,6,257,1005,20,2393
3816,40,907,28,6,218,927,16,2135
3818,201,4457,135,26,1044,5420,67,11346
3820,237,5439,209,35,1031,6027,60,13037
3821,32,981,84,10,356,863,9,2336
3822,7,338,14,6,86,303,11,768
3823,16,582,21,10,201,682,15,1524
3824,45,1650,68,9,399,1800,34,4013
3825,190,5870,172,32,1234,9280,121,16897
3831,14,512,24,3,184,659,21,1408
3832,0,58,3,4,33,112,0,216
3833,0,64,14,6,40,146,0,274
3835,0,141,8,6,61,158,4,376
3840,143,4540,155,27,856,7855,87,13666
3842,28,1385,37,13,241,2220,17,3946
3844,236,10320,331,68,1865,10377,121,23327
3847,6,695,49,4,196,828,13,1794
3850,60,4738,381,82,874,5730,83,11952
3851,13,1348,74,27,437,2929,43,4870
3852,0,13,56,0,0,14,0,84
3854,5,530,14,10,155,376,7,1089
3856,9,377,7,0,68,300,3,769
3857,0,156,5,0,24,113,0,305
3858,18,866,105,9,247,1183,26,2453
3859,3,250,23,6,133,253,10,677
3860,24,2283,121,26,591,2743,39,5833
3862,10,1031,51,20,323,1112,12,2554
3864,0,67,7,0,26,73,0,178
3865,0,156,7,0,23,173,0,368
3869,9,601,20,0,133,550,15,1322
3870,10,394,20,9,118,519,6,1065
3871,16,821,59,10,291,1183,16,2387
3873,0,90,5,0,35,127,12,264
3874,0,144,9,0,87,238,4,487
3875,66,5686,311,48,1258,7841,101,15312
3878,0,321,11,4,81,524,7,959
3880,54,856,36,11,208,2412,18,3596
3882,9,347,6,3,90,467,3,925
3885,4,566,29,10,195,711,28,1548
3886,3,112,0,0,30,158,5,306
3887,3,72,17,0,23,177,0,300
3888,9,753,114,5,308,1634,23,2852
3889,0,21,0,4,27,110,0,157
3890,0,52,17,0,30,177,3,271
3891,0,21,8,0,16,59,0,104
3892,3,191,65,10,97,564,3,934
3893,0,5,0,0,6,3,0,19
3895,0,46,7,0,43,70,0,165
3896,0,106,26,0,39,163,0,337
3898,17,199,38,10,69,307,0,639
3900,0,53,4,0,15,52,8,132
3902,0,106,13,0,47,181,0,349
3903,5,201,10,4,58,349,9,628
3904,4,368,21,6,127,735,5,1260
3909,23,1988,112,36,507,4024,43,6732
3910,422,9734,121,47,1608,6146,104,18170
3911,55,1409,31,6,237,1064,16,2825
3912,163,6220,141,23,1136,4574,71,12320
3913,38,1438,25,5,242,991,11,2750
3915,94,3030,114,27,511,4270,36,8074
3916,9,255,16,3,104,438,9,825
3918,33,1465,24,5,266,1172,11,2977
3919,39,1154,20,10,192,1100,26,2536
3920,49,129,597,59,70,64,3,967
3921,9,19,0,0,23,46,0,94
3922,42,2025,133,17,628,3619,40,6506
3923,3,161,12,0,36,242,4,456
3925,14,1035,71,9,297,1321,28,2778
3926,23,1087,38,8,324,1187,14,2683
3927,13,512,15,3,155,684,16,1395
3928,0,114,8,3,64,156,0,355
3929,3,240,19,0,112,404,9,790
3930,388,6145,114,47,1527,5820,64,14106
3931,330,7887,252,35,1580,9993,89,20164
3933,18,418,27,3,118,331,5,926
3934,228,6550,120,42,1581,5992,68,14579
3936,128,3571,78,35,815,4768,50,9429
3937,20,448,37,3,200,547,9,1265
3938,19,901,24,10,208,1258,9,2435
3939,96,4312,132,18,975,6700,81,12309
3940,35,1075,40,0,205,2953,26,4335
3941,83,3809,80,28,842,5142,63,10051
3942,16,604,14,4,203,1197,11,2054
3943,26,329,30,0,136,942,9,1482
3944,9,90,9,0,65,305,0,477
3945,8,317,24,0,148,313,9,809
3946,0,66,4,7,29,69,3,177
3950,17,1430,74,5,365,1988,31,3908
3951,0,304,19,8,149,321,3,803
3953,33,2364,231,19,715,2873,44,6280
3954,3,144,9,0,45,126,0,333
3956,7,651,60,15,313,1339,18,2401
3957,0,74,7,0,49,85,0,221
